YEAR,STATE,RATE,DEATHS,URL
2020,AL,23.6,1141,/nchs/pressroom/states/alabama/al.htm
2020,AK,23.5,175,/nchs/pressroom/states/alaska/ak.htm
2020,AZ,16.7,1265,/nchs/pressroom/states/arizona/az.htm
2020,AR,22.6,673,/nchs/pressroom/states/arkansas/ar.htm
2020,CA,8.5,3449,/nchs/pressroom/states/california/ca.htm
2020,CO,15.4,922,/nchs/pressroom/states/colorado/co.htm
2020,CT,6,219,/nchs/pressroom/states/connecticut/ct.htm
2020,DE,14.4,135,/nchs/pressroom/states/delaware/de.htm
2020,FL,13.7,3041,/nchs/pressroom/states/florida/fl.htm
2020,GA,17.7,1897,/nchs/pressroom/states/georgia/ga.htm
2020,HI,3.4,50,/nchs/pressroom/states/hawaii/hi.htm
2020,ID,17.6,321,/nchs/pressroom/states/idaho/id.htm
2020,IL,14.1,1745,/nchs/pressroom/states/illinois/il.htm
2020,IN,17.3,1159,/nchs/pressroom/states/indiana/in.htm
2020,IA,11.2,351,/nchs/pressroom/states/iowa/ia.htm
2020,KS,16.9,494,/nchs/pressroom/states/kansas/ks.htm
2020,KY,20.1,902,/nchs/pressroom/states/kentucky/ky.htm
2020,LA,26.3,1183,/nchs/pressroom/states/louisiana/la.htm
2020,ME,10.4,153,/nchs/pressroom/states/maine/me.htm
2020,MD,13.5,803,/nchs/pressroom/states/maryland/md.htm
2020,MA,3.7,268,/nchs/pressroom/states/massachusetts/ma.htm
2020,MI,14.6,1454,/nchs/pressroom/states/michigan/mi.htm
2020,MN,8.9,513,/nchs/pressroom/states/minnesota/mn.htm
2020,MS,28.6,818,/nchs/pressroom/states/mississippi/ms.htm
2020,MO,23.9,1426,/nchs/pressroom/states/missouri/mo.htm
2020,MT,20.9,238,/nchs/pressroom/states/montana/mt.htm
2020,NE,10.1,197,/nchs/pressroom/states/nebraska/ne.htm
2020,NV,17,547,/nchs/pressroom/states/nevada/nv.htm
2020,NH,8.9,128,/nchs/pressroom/states/newhampshire/nh.htm
2020,NJ,5,443,/nchs/pressroom/states/newjersey/nj.htm
2020,NM,22.7,479,/nchs/pressroom/states/newmexico/nm.htm
2020,NY,5.3,1052,/nchs/pressroom/states/newyork/ny.htm
2020,NC,16,1699,/nchs/pressroom/states/northcarolina/nc.htm
2020,ND,13.8,100,/nchs/pressroom/states/northdakota/nd.htm
2020,OH,15.2,1764,/nchs/pressroom/states/ohio/oh.htm
2020,OK,20.7,826,/nchs/pressroom/states/oklahoma/ok.htm
2020,OR,13,592,/nchs/pressroom/states/oregon/or.htm
2020,PA,13.6,1752,/nchs/pressroom/states/pennsylvania/pa.htm
2020,RI,5.1,54,/nchs/pressroom/states/rhodeisland/ri.htm
2020,SC,22,1131,/nchs/pressroom/states/southcarolina/sc.htm
2020,SD,13.6,120,/nchs/pressroom/states/southdakota/sd.htm
2020,TN,21.3,1473,/nchs/pressroom/states/tennessee/tn.htm
2020,TX,14.2,4164,/nchs/pressroom/states/texas/tx.htm
2020,UT,13.6,429,/nchs/pressroom/states/utah/ut.htm
2020,VT,11.6,76,/nchs/pressroom/states/vermont/vt.htm
2020,VA,13.4,1174,/nchs/pressroom/states/virginia/va.htm
